fecha,producto,cantidad_cajas,precio_venta_caja,total_ventas
2025-01-07,Caja Huevos Granel Extra,3,38000,114000
2025-01-07,Caja Formato 30x6 (1/2 doc),2,40000,80000
2025-01-07,Caja Formato 15x12 (docena),2,40000,80000
2025-01-07,Caja Formato 20 Extra Bonito,1,50000,50000
2025-01-07,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-01-08,Caja Huevos Granel Primera,3,35000,105000
2025-01-08,Caja Huevos Granel Extra,3,38000,114000
2025-01-08,Caja Formato 30x6 (1/2 doc),2,40000,80000
2025-01-08,Caja Formato 15x12 (docena),2,40000,80000
2025-01-08,Caja Formato 20 Extra Bonito,1,50000,50000
2025-01-08,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-01-09,Caja Huevos Granel Primera,6,35000,210000
2025-01-09,Caja Huevos Granel Extra,3,38000,114000
2025-01-09,Caja Formato 30x6 (1/2 doc),2,40000,80000
2025-01-09,Caja Formato 15x12 (docena),1,40000,40000
2025-01-09,Caja Formato 20 Extra Bonito,1,50000,50000
2025-01-09,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-01-10,Caja Huevos Granel Primera,4,35000,140000
2025-01-10,Caja Huevos Granel Extra,3,38000,114000
2025-01-10,Caja Formato 30x6 (1/2 doc),2,40000,80000
2025-01-10,Caja Formato 15x12 (docena),2,40000,80000
2025-01-10,Caja Formato 20 Extra Bonito,1,50000,50000
2025-01-10,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-01-11,Caja Huevos Granel Primera,5,35000,175000
2025-01-11,Caja Huevos Granel Extra,2,38000,76000
2025-01-11,Caja Formato 30x6 (1/2 doc),2,40000,80000
2025-01-11,Caja Formato 15x12 (docena),1,40000,40000
2025-01-11,Caja Formato 20 Extra Bonito,1,50000,50000
2025-01-11,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-01-12,Caja Huevos Granel Primera,2,35000,70000
2025-01-12,Caja Huevos Granel Extra,1,38000,38000
2025-01-12,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-01-12,Caja Formato 15x12 (docena),1,40000,40000
2025-01-12,Caja Formato 20 Extra Bonito,0,50000,0
2025-01-12,Caja Formato 30 Mediano Bonito,0,54000,0
2025-01-13,Caja Huevos Granel Primera,4,35000,140000
2025-01-13,Caja Huevos Granel Extra,3,38000,114000
2025-01-13,Caja Formato 30x6 (1/2 doc),2,40000,80000
2025-01-13,Caja Formato 15x12 (docena),2,40000,80000
2025-01-13,Caja Formato 20 Extra Bonito,1,50000,50000
2025-01-13,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-01-14,Caja Huevos Granel Primera,5,35000,175000
2025-01-14,Caja Huevos Granel Extra,2,38000,76000
2025-01-14,Caja Formato 30x6 (1/2 doc),2,40000,80000
2025-01-14,Caja Formato 15x12 (docena),2,40000,80000
2025-01-14,Caja Formato 20 Extra Bonito,1,50000,50000
2025-01-14,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-01-15,Caja Huevos Granel Primera,6,35000,210000
2025-01-15,Caja Huevos Granel Extra,3,38000,114000
2025-01-15,Caja Formato 30x6 (1/2 doc),2,40000,80000
2025-01-15,Caja Formato 15x12 (docena),2,40000,80000
2025-01-15,Caja Formato 20 Extra Bonito,1,50000,50000
2025-01-15,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-01-16,Caja Huevos Granel Primera,4,35000,140000
2025-01-16,Caja Huevos Granel Extra,3,38000,114000
2025-01-16,Caja Formato 30x6 (1/2 doc),2,40000,80000
2025-01-16,Caja Formato 15x12 (docena),2,40000,80000
2025-01-16,Caja Formato 20 Extra Bonito,1,50000,50000
2025-01-16,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-01-17,Caja Huevos Granel Primera,4,35000,140000
2025-01-17,Caja Huevos Granel Extra,2,38000,76000
2025-01-17,Caja Formato 30x6 (1/2 doc),2,40000,80000
2025-01-17,Caja Formato 15x12 (docena),2,40000,80000
2025-01-17,Caja Formato 20 Extra Bonito,1,50000,50000
2025-01-17,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-01-18,Caja Huevos Granel Primera,3,35000,105000
2025-01-18,Caja Huevos Granel Extra,2,38000,76000
2025-01-18,Caja Formato 30x6 (1/2 doc),2,40000,80000
2025-01-18,Caja Formato 15x12 (docena),1,40000,40000
2025-01-18,Caja Formato 20 Extra Bonito,1,50000,50000
2025-01-18,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-01-19,Caja Huevos Granel Primera,3,35000,105000
2025-01-19,Caja Huevos Granel Extra,1,38000,38000
2025-01-19,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-01-19,Caja Formato 15x12 (docena),0,40000,0
2025-01-19,Caja Formato 20 Extra Bonito,0,50000,0
2025-01-19,Caja Formato 30 Mediano Bonito,0,54000,0
2025-01-20,Caja Huevos Granel Primera,5,35000,175000
2025-01-20,Caja Huevos Granel Extra,4,38000,152000
2025-01-20,Caja Formato 30x6 (1/2 doc),2,40000,80000
2025-01-20,Caja Formato 15x12 (docena),2,40000,80000
2025-01-20,Caja Formato 20 Extra Bonito,1,50000,50000
2025-01-20,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-01-21,Caja Huevos Granel Primera,5,35000,175000
2025-01-21,Caja Huevos Granel Extra,3,38000,114000
2025-01-21,Caja Formato 30x6 (1/2 doc),2,40000,80000
2025-01-21,Caja Formato 15x12 (docena),2,40000,80000
2025-01-21,Caja Formato 20 Extra Bonito,1,50000,50000
2025-01-21,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-01-22,Caja Huevos Granel Primera,3,35000,105000
2025-01-22,Caja Huevos Granel Extra,3,38000,114000
2025-01-22,Caja Formato 30x6 (1/2 doc),2,40000,80000
2025-01-22,Caja Formato 15x12 (docena),1,40000,40000
2025-01-22,Caja Formato 20 Extra Bonito,1,50000,50000
2025-01-22,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-01-23,Caja Huevos Granel Primera,4,35000,140000
2025-01-23,Caja Huevos Granel Extra,3,38000,114000
2025-01-23,Caja Formato 30x6 (1/2 doc),2,40000,80000
2025-01-23,Caja Formato 15x12 (docena),2,40000,80000
2025-01-23,Caja Formato 20 Extra Bonito,1,50000,50000
2025-01-23,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-01-24,Caja Huevos Granel Primera,3,35000,105000
2025-01-24,Caja Huevos Granel Extra,2,38000,76000
2025-01-24,Caja Formato 30x6 (1/2 doc),2,40000,80000
2025-01-24,Caja Formato 15x12 (docena),2,40000,80000
2025-01-24,Caja Formato 20 Extra Bonito,1,50000,50000
2025-01-24,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-01-25,Caja Huevos Granel Primera,3,35000,105000
2025-01-25,Caja Huevos Granel Extra,2,38000,76000
2025-01-25,Caja Formato 30x6 (1/2 doc),2,40000,80000
2025-01-25,Caja Formato 15x12 (docena),2,40000,80000
2025-01-25,Caja Formato 20 Extra Bonito,1,50000,50000
2025-01-25,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-01-26,Caja Huevos Granel Primera,2,35000,70000
2025-01-26,Caja Huevos Granel Extra,1,38000,38000
2025-01-26,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-01-26,Caja Formato 15x12 (docena),1,40000,40000
2025-01-26,Caja Formato 20 Extra Bonito,0,50000,0
2025-01-26,Caja Formato 30 Mediano Bonito,0,54000,0
2025-01-27,Caja Huevos Granel Primera,3,35000,105000
2025-01-27,Caja Huevos Granel Extra,2,38000,76000
2025-01-27,Caja Formato 30x6 (1/2 doc),2,40000,80000
2025-01-27,Caja Formato 15x12 (docena),2,40000,80000
2025-01-27,Caja Formato 20 Extra Bonito,1,50000,50000
2025-01-27,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-01-28,Caja Huevos Granel Primera,5,35000,175000
2025-01-28,Caja Huevos Granel Extra,2,38000,76000
2025-01-28,Caja Formato 30x6 (1/2 doc),2,40000,80000
2025-01-28,Caja Formato 15x12 (docena),1,40000,40000
2025-01-28,Caja Formato 20 Extra Bonito,1,50000,50000
2025-01-28,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-01-29,Caja Huevos Granel Primera,3,35000,105000
2025-01-29,Caja Huevos Granel Extra,3,38000,114000
2025-01-29,Caja Formato 30x6 (1/2 doc),2,40000,80000
2025-01-29,Caja Formato 15x12 (docena),1,40000,40000
2025-01-29,Caja Formato 20 Extra Bonito,1,50000,50000
2025-01-29,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-01-30,Caja Huevos Granel Primera,4,35000,140000
2025-01-30,Caja Huevos Granel Extra,2,38000,76000
2025-01-30,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-01-30,Caja Formato 15x12 (docena),1,40000,40000
2025-01-30,Caja Formato 20 Extra Bonito,1,50000,50000
2025-01-30,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-01-31,Caja Huevos Granel Primera,4,35000,140000
2025-01-31,Caja Huevos Granel Extra,3,38000,114000
2025-01-31,Caja Formato 30x6 (1/2 doc),2,40000,80000
2025-01-31,Caja Formato 15x12 (docena),2,40000,80000
2025-01-31,Caja Formato 20 Extra Bonito,1,50000,50000
2025-01-31,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-02-01,Caja Huevos Granel Primera,4,35000,140000
2025-02-01,Caja Huevos Granel Extra,3,38000,114000
2025-02-01,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-02-01,Caja Formato 15x12 (docena),2,40000,80000
2025-02-01,Caja Formato 20 Extra Bonito,1,50000,50000
2025-02-01,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-02-02,Caja Huevos Granel Primera,3,35000,105000
2025-02-02,Caja Huevos Granel Extra,1,38000,38000
2025-02-02,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-02-02,Caja Formato 15x12 (docena),1,40000,40000
2025-02-02,Caja Formato 20 Extra Bonito,0,50000,0
2025-02-02,Caja Formato 30 Mediano Bonito,0,54000,0
2025-02-03,Caja Huevos Granel Primera,4,35000,140000
2025-02-03,Caja Huevos Granel Extra,2,38000,76000
2025-02-03,Caja Formato 30x6 (1/2 doc),2,40000,80000
2025-02-03,Caja Formato 15x12 (docena),2,40000,80000
2025-02-03,Caja Formato 20 Extra Bonito,1,50000,50000
2025-02-03,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-02-04,Caja Huevos Granel Primera,3,35000,105000
2025-02-04,Caja Huevos Granel Extra,3,38000,114000
2025-02-04,Caja Formato 30x6 (1/2 doc),2,40000,80000
2025-02-04,Caja Formato 15x12 (docena),1,40000,40000
2025-02-04,Caja Formato 20 Extra Bonito,1,50000,50000
2025-02-04,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-02-05,Caja Huevos Granel Primera,4,35000,140000
2025-02-05,Caja Huevos Granel Extra,4,38000,152000
2025-02-05,Caja Formato 30x6 (1/2 doc),3,40000,120000
2025-02-05,Caja Formato 15x12 (docena),1,40000,40000
2025-02-05,Caja Formato 20 Extra Bonito,1,50000,50000
2025-02-05,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-02-06,Caja Huevos Granel Primera,5,35000,175000
2025-02-06,Caja Huevos Granel Extra,3,38000,114000
2025-02-06,Caja Formato 30x6 (1/2 doc),2,40000,80000
2025-02-06,Caja Formato 15x12 (docena),2,40000,80000
2025-02-06,Caja Formato 20 Extra Bonito,1,50000,50000
2025-02-06,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-02-07,Caja Huevos Granel Primera,4,35000,140000
2025-02-07,Caja Huevos Granel Extra,3,38000,114000
2025-02-07,Caja Formato 30x6 (1/2 doc),3,40000,120000
2025-02-07,Caja Formato 15x12 (docena),3,40000,120000
2025-02-07,Caja Formato 20 Extra Bonito,2,50000,100000
2025-02-07,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-02-08,Caja Huevos Granel Primera,4,35000,140000
2025-02-08,Caja Huevos Granel Extra,2,38000,76000
2025-02-08,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-02-08,Caja Formato 15x12 (docena),1,40000,40000
2025-02-08,Caja Formato 20 Extra Bonito,1,50000,50000
2025-02-08,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-02-09,Caja Huevos Granel Primera,3,35000,105000
2025-02-09,Caja Huevos Granel Extra,1,38000,38000
2025-02-09,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-02-09,Caja Formato 15x12 (docena),1,40000,40000
2025-02-09,Caja Formato 20 Extra Bonito,1,50000,50000
2025-02-09,Caja Formato 30 Mediano Bonito,0,54000,0
2025-02-10,Caja Huevos Granel Primera,5,35000,175000
2025-02-10,Caja Huevos Granel Extra,4,38000,152000
2025-02-10,Caja Formato 30x6 (1/2 doc),2,40000,80000
2025-02-10,Caja Formato 15x12 (docena),2,40000,80000
2025-02-10,Caja Formato 20 Extra Bonito,1,50000,50000
2025-02-10,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-02-11,Caja Huevos Granel Primera,4,35000,140000
2025-02-11,Caja Huevos Granel Extra,4,38000,152000
2025-02-11,Caja Formato 30x6 (1/2 doc),2,40000,80000
2025-02-11,Caja Formato 15x12 (docena),2,40000,80000
2025-02-11,Caja Formato 20 Extra Bonito,2,50000,100000
2025-02-11,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-02-12,Caja Huevos Granel Primera,5,35000,175000
2025-02-12,Caja Huevos Granel Extra,3,38000,114000
2025-02-12,Caja Formato 30x6 (1/2 doc),3,40000,120000
2025-02-12,Caja Formato 15x12 (docena),2,40000,80000
2025-02-12,Caja Formato 20 Extra Bonito,1,50000,50000
2025-02-12,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-02-13,Caja Huevos Granel Primera,3,35000,105000
2025-02-13,Caja Huevos Granel Extra,3,38000,114000
2025-02-13,Caja Formato 30x6 (1/2 doc),2,40000,80000
2025-02-13,Caja Formato 15x12 (docena),2,40000,80000
2025-02-13,Caja Formato 20 Extra Bonito,1,50000,50000
2025-02-13,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-02-14,Caja Huevos Granel Primera,4,35000,140000
2025-02-14,Caja Huevos Granel Extra,3,38000,114000
2025-02-14,Caja Formato 30x6 (1/2 doc),2,40000,80000
2025-02-14,Caja Formato 15x12 (docena),2,40000,80000
2025-02-14,Caja Formato 20 Extra Bonito,1,50000,50000
2025-02-14,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-02-15,Caja Huevos Granel Primera,4,35000,140000
2025-02-15,Caja Huevos Granel Extra,2,38000,76000
2025-02-15,Caja Formato 30x6 (1/2 doc),2,40000,80000
2025-02-15,Caja Formato 15x12 (docena),1,40000,40000
2025-02-15,Caja Formato 20 Extra Bonito,1,50000,50000
2025-02-15,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-02-16,Caja Huevos Granel Primera,1,35000,35000
2025-02-16,Caja Huevos Granel Extra,1,38000,38000
2025-02-16,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-02-16,Caja Formato 15x12 (docena),1,40000,40000
2025-02-16,Caja Formato 20 Extra Bonito,0,50000,0
2025-02-16,Caja Formato 30 Mediano Bonito,0,54000,0
2025-02-17,Caja Huevos Granel Primera,5,35000,175000
2025-02-17,Caja Huevos Granel Extra,3,38000,114000
2025-02-17,Caja Formato 30x6 (1/2 doc),3,40000,120000
2025-02-17,Caja Formato 15x12 (docena),2,40000,80000
2025-02-17,Caja Formato 20 Extra Bonito,1,50000,50000
2025-02-17,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-02-18,Caja Huevos Granel Primera,5,35000,175000
2025-02-18,Caja Huevos Granel Extra,3,38000,114000
2025-02-18,Caja Formato 30x6 (1/2 doc),2,40000,80000
2025-02-18,Caja Formato 15x12 (docena),2,40000,80000
2025-02-18,Caja Formato 20 Extra Bonito,1,50000,50000
2025-02-18,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-02-19,Caja Huevos Granel Primera,5,35000,175000
2025-02-19,Caja Huevos Granel Extra,3,38000,114000
2025-02-19,Caja Formato 30x6 (1/2 doc),2,40000,80000
2025-02-19,Caja Formato 15x12 (docena),2,40000,80000
2025-02-19,Caja Formato 20 Extra Bonito,1,50000,50000
2025-02-19,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-02-20,Caja Huevos Granel Primera,4,35000,140000
2025-02-20,Caja Huevos Granel Extra,3,38000,114000
2025-02-20,Caja Formato 30x6 (1/2 doc),3,40000,120000
2025-02-20,Caja Formato 15x12 (docena),2,40000,80000
2025-02-20,Caja Formato 20 Extra Bonito,1,50000,50000
2025-02-20,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-02-21,Caja Huevos Granel Primera,4,35000,140000
2025-02-21,Caja Huevos Granel Extra,3,38000,114000
2025-02-21,Caja Formato 30x6 (1/2 doc),2,40000,80000
2025-02-21,Caja Formato 15x12 (docena),2,40000,80000
2025-02-21,Caja Formato 20 Extra Bonito,1,50000,50000
2025-02-21,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-02-22,Caja Huevos Granel Primera,4,35000,140000
2025-02-22,Caja Huevos Granel Extra,4,38000,152000
2025-02-22,Caja Formato 30x6 (1/2 doc),2,40000,80000
2025-02-22,Caja Formato 15x12 (docena),2,40000,80000
2025-02-22,Caja Formato 20 Extra Bonito,1,50000,50000
2025-02-22,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-02-23,Caja Huevos Granel Primera,1,35000,35000
2025-02-23,Caja Huevos Granel Extra,1,38000,38000
2025-02-23,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-02-23,Caja Formato 15x12 (docena),1,40000,40000
2025-02-23,Caja Formato 20 Extra Bonito,0,50000,0
2025-02-23,Caja Formato 30 Mediano Bonito,0,54000,0
2025-02-24,Caja Huevos Granel Primera,6,35000,210000
2025-02-24,Caja Huevos Granel Extra,3,38000,114000
2025-02-24,Caja Formato 30x6 (1/2 doc),2,40000,80000
2025-02-24,Caja Formato 15x12 (docena),2,40000,80000
2025-02-24,Caja Formato 20 Extra Bonito,2,50000,100000
2025-02-24,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-02-25,Caja Huevos Granel Primera,5,35000,175000
2025-02-25,Caja Huevos Granel Extra,3,38000,114000
2025-02-25,Caja Formato 30x6 (1/2 doc),2,40000,80000
2025-02-25,Caja Formato 15x12 (docena),2,40000,80000
2025-02-25,Caja Formato 20 Extra Bonito,2,50000,100000
2025-02-25,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-02-26,Caja Huevos Granel Primera,4,35000,140000
2025-02-26,Caja Huevos Granel Extra,3,38000,114000
2025-02-26,Caja Formato 30x6 (1/2 doc),3,40000,120000
2025-02-26,Caja Formato 15x12 (docena),2,40000,80000
2025-02-26,Caja Formato 20 Extra Bonito,1,50000,50000
2025-02-26,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-02-27,Caja Huevos Granel Primera,3,35000,105000
2025-02-27,Caja Huevos Granel Extra,3,38000,114000
2025-02-27,Caja Formato 30x6 (1/2 doc),2,40000,80000
2025-02-27,Caja Formato 15x12 (docena),2,40000,80000
2025-02-27,Caja Formato 20 Extra Bonito,1,50000,50000
2025-02-27,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-02-28,Caja Huevos Granel Primera,5,35000,175000
2025-02-28,Caja Huevos Granel Extra,3,38000,114000
2025-02-28,Caja Formato 30x6 (1/2 doc),2,40000,80000
2025-02-28,Caja Formato 15x12 (docena),2,40000,80000
2025-02-28,Caja Formato 20 Extra Bonito,1,50000,50000
2025-02-28,Caja Formato 30 Mediano Bonito,1,54000,54000
2025-03-01,Caja Huevos Granel Primera,3,35000,105000
2025-03-01,Caja Huevos Granel Extra,1,38000,38000
2025-03-01,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-03-01,Caja Formato 15x12 (docena),1,40000,40000
2025-03-01,Caja Formato 20 Extra Bonito,0,50000,0
2025-03-01,Caja Formato 30 Mediano Bonito,0,54000,0
2025-03-02,Caja Huevos Granel Primera,1,35000,35000
2025-03-02,Caja Huevos Granel Extra,1,38000,38000
2025-03-02,Caja Formato 30x6 (1/2 doc),0,40000,0
2025-03-02,Caja Formato 15x12 (docena),0,40000,0
2025-03-02,Caja Formato 20 Extra Bonito,0,50000,0
2025-03-02,Caja Formato 30 Mediano Bonito,0,54000,0
2025-03-03,Caja Huevos Granel Primera,1,35000,35000
2025-03-03,Caja Huevos Granel Extra,1,38000,38000
2025-03-03,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-03-03,Caja Formato 15x12 (docena),1,40000,40000
2025-03-03,Caja Formato 20 Extra Bonito,0,50000,0
2025-03-03,Caja Formato 30 Mediano Bonito,0,54000,0
2025-03-04,Caja Huevos Granel Primera,2,35000,70000
2025-03-04,Caja Huevos Granel Extra,2,38000,76000
2025-03-04,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-03-04,Caja Formato 15x12 (docena),1,40000,40000
2025-03-04,Caja Formato 20 Extra Bonito,1,50000,50000
2025-03-04,Caja Formato 30 Mediano Bonito,0,54000,0
2025-03-05,Caja Huevos Granel Primera,2,35000,70000
2025-03-05,Caja Huevos Granel Extra,2,38000,76000
2025-03-05,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-03-05,Caja Formato 15x12 (docena),1,40000,40000
2025-03-05,Caja Formato 20 Extra Bonito,0,50000,0
2025-03-05,Caja Formato 30 Mediano Bonito,0,54000,0
2025-03-06,Caja Huevos Granel Primera,2,35000,70000
2025-03-06,Caja Huevos Granel Extra,1,38000,38000
2025-03-06,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-03-06,Caja Formato 15x12 (docena),1,40000,40000
2025-03-06,Caja Formato 20 Extra Bonito,0,50000,0
2025-03-06,Caja Formato 30 Mediano Bonito,0,54000,0
2025-03-07,Caja Huevos Granel Primera,3,35000,105000
2025-03-07,Caja Huevos Granel Extra,2,38000,76000
2025-03-07,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-03-07,Caja Formato 15x12 (docena),1,40000,40000
2025-03-07,Caja Formato 20 Extra Bonito,1,50000,50000
2025-03-07,Caja Formato 30 Mediano Bonito,0,54000,0
2025-03-08,Caja Huevos Granel Primera,1,35000,35000
2025-03-08,Caja Huevos Granel Extra,1,38000,38000
2025-03-08,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-03-08,Caja Formato 15x12 (docena),1,40000,40000
2025-03-08,Caja Formato 20 Extra Bonito,0,50000,0
2025-03-08,Caja Formato 30 Mediano Bonito,0,54000,0
2025-03-09,Caja Huevos Granel Primera,1,35000,35000
2025-03-09,Caja Huevos Granel Extra,0,38000,0
2025-03-09,Caja Formato 30x6 (1/2 doc),0,40000,0
2025-03-09,Caja Formato 15x12 (docena),0,40000,0
2025-03-09,Caja Formato 20 Extra Bonito,0,50000,0
2025-03-09,Caja Formato 30 Mediano Bonito,0,54000,0
2025-03-10,Caja Huevos Granel Primera,2,35000,70000
2025-03-10,Caja Huevos Granel Extra,2,38000,76000
2025-03-10,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-03-10,Caja Formato 15x12 (docena),1,40000,40000
2025-03-10,Caja Formato 20 Extra Bonito,1,50000,50000
2025-03-10,Caja Formato 30 Mediano Bonito,0,54000,0
2025-03-11,Caja Huevos Granel Primera,2,35000,70000
2025-03-11,Caja Huevos Granel Extra,1,38000,38000
2025-03-11,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-03-11,Caja Formato 15x12 (docena),1,40000,40000
2025-03-11,Caja Formato 20 Extra Bonito,0,50000,0
2025-03-11,Caja Formato 30 Mediano Bonito,0,54000,0
2025-03-12,Caja Huevos Granel Primera,2,35000,70000
2025-03-12,Caja Huevos Granel Extra,1,38000,38000
2025-03-12,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-03-12,Caja Formato 15x12 (docena),1,40000,40000
2025-03-12,Caja Formato 20 Extra Bonito,1,50000,50000
2025-03-12,Caja Formato 30 Mediano Bonito,0,54000,0
2025-03-13,Caja Huevos Granel Primera,2,35000,70000
2025-03-13,Caja Huevos Granel Extra,2,38000,76000
2025-03-13,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-03-13,Caja Formato 15x12 (docena),1,40000,40000
2025-03-13,Caja Formato 20 Extra Bonito,1,50000,50000
2025-03-13,Caja Formato 30 Mediano Bonito,0,54000,0
2025-03-14,Caja Huevos Granel Primera,1,35000,35000
2025-03-14,Caja Huevos Granel Extra,1,38000,38000
2025-03-14,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-03-14,Caja Formato 15x12 (docena),1,40000,40000
2025-03-14,Caja Formato 20 Extra Bonito,0,50000,0
2025-03-14,Caja Formato 30 Mediano Bonito,0,54000,0
2025-03-15,Caja Huevos Granel Primera,3,35000,105000
2025-03-15,Caja Huevos Granel Extra,1,38000,38000
2025-03-15,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-03-15,Caja Formato 15x12 (docena),1,40000,40000
2025-03-15,Caja Formato 20 Extra Bonito,0,50000,0
2025-03-15,Caja Formato 30 Mediano Bonito,0,54000,0
2025-03-16,Caja Huevos Granel Primera,2,35000,70000
2025-03-16,Caja Huevos Granel Extra,1,38000,38000
2025-03-16,Caja Formato 30x6 (1/2 doc),1,40000,40000
2025-03-16,Caja Formato 15x12 (docena),0,40000,0
